MONTH_MON,YEAR,APT_NAME,STATE_NAME,FLT_TOT_1
APR,2022,London - Gatwick,United Kingdom,18850
APR,2022,London - Heathrow,United Kingdom,32858
APR,2022,London - Luton,United Kingdom,10152
APR,2022,London - Stansted,United Kingdom,14881
APR,2022,Londonderry - Eglinton,United Kingdom,262
APR,2022,Lublin,Poland,319
APR,2022,Maastricht-Aachen,Netherlands,853
APR,2022,Manchester,United Kingdom,13178
APR,2022,Mehamn,Norway,216
APR,2022,Mikonos,Greece,748
APR,2022,Mo i Rana Røssvoll,Norway,378
APR,2022,Molde Årø,Norway,457
APR,2022,Mosjøen Kjærstad,Norway,284
APR,2022,Namsos Høknesøra,Norway,168
APR,2022,Newcastle,United Kingdom,2847
APR,2022,Olsztyn-Mazury,Poland,119
APR,2022,Orsta¿Volda Hovden,Norway,391
APR,2022,Oslo - Gardermoen,Norway,17204
APR,2022,Poznan - Lawica,Poland,1729
APR,2022,Rodos,Greece,2144
APR,2022,Roros,Norway,91
APR,2022,Rorvik Ryum,Norway,194
APR,2022,Rost,Norway,98
APR,2022,Rotterdam,Netherlands,2179
APR,2022,Rzeszow - Jasionka,Poland,1419
APR,2022,Sandane  Anda,Norway,192
